No,Title,Rating,Votes,Duration,Genre
134,Burgemeestersmoord,6.5,89,1h 54m,war
135,Un milione di granelli di sabbia,,0,1h 4m,war
136,Los indomables,6.5,9,1h 46m,war
137,D-Day: The Unheard Tapes,8.2,269,,war
138,Village of Death: Oradour-sur-Glane 1944,7.8,17,58m,war
139,Pervitin,6.7,6,24m,war
140,The Risk Rule,,0,18m,war
141,The Dakota War: Attack on Fort Ridgely,,0,1h 20m,war
142,Blood Vendetta,7.5,245,1h 30m,war
143,Occupied,,0,1h 17m,war
144,Casques bleuEs,,0,1h 22m,war
145,Lost Identity,6.8,15,,war
146,20/22,5.0,127,,war
147,Dwie siostry,5.3,45,1h 32m,war
148,Bayoneted!,,0,,war
149,Adiabin,7.3,174,,war
150,Straws in the Wind,,0,,war
151,The Dugout,5.4,774,1h 54m,war
152,Vrag u vorot,7.2,100,,war
153,The Battle for Kyiv,7.6,47,,war
154,"Arlempdes, la légende du premier château de la Loire",6.8,13,,war
155,The Daughter,6.6,13,1h 37m,war
156,Las cosas que caen,,0,4m,war
157,Battle for Berlin: WWII,,0,,war
158,Amirli,4.4,51,,war
159,Renverse,,0,2h 7m,war
160,Sem chyornykh bumag,6.6,60,1h 36m,war
161,Burning Stars,6.5,49,1h 24m,war
162,Somewhere Near Nijmegen,7.7,9,25m,war
163,Defending Europe,7.3,31,,war
164,Ukraine Mon Amour,,0,,war
165,The Proof Is Out There: Military Mysteries,6.6,85,,war
166,Dun huang ying xiong,,0,,war
167,THE ESCORT,,0,14m,war
168,Hot Sexy War,,0,,war
169,Majnoon,6.9,35,,war
170,Glaz pustyni,6.2,43,,war
171,The West Sky,5.1,148,,war
172,Levizia,,0,,war
173,Hitler's British Island,6.8,29,,war
174,Operation Thule,,0,2h 40m,war
175,Jewish Revenge 6: Gaza in Focus,6.0,27,1h 10m,war
176,Kara Kyz,5.1,25,1h 51m,war
177,Iron Curtain: Life Under Soviet Occupation,7.3,29,,war
178,Pidyomna syla,8.5,76,1h 27m,war
179,Istrebiteli. Bitva za Krym,5.8,43,,war
180,Elveda Asker,10,15,4m,war
181,El laberinto. La guerra secreta de España,,0,2h 1m,war
182,Vernut lyuboy tsenoy,6.7,34,,war
183,Inimicus,,0,28m,war
184,Velkommen til frontlinjen,8.9,38,,war
185,Fedeltà Soldati. Prigionieri.,,0,1h 20m,war
186,Trepang2: Bladekisser,6.8,11,,war
187,Mythical Creatures,,0,1h 30m,war
188,Deserters,,0,19m,war
189,72 Sigan,,0,4h,war
190,Last December,,0,16m,war
191,Sand,,0,,war
192,Dictators' Hideouts,7.2,18,,war
193,Life and Death in Gaza,8.2,13,1h 28m,war
194,Operatsiya Karpaty,3.9,98,,war
195,From the Ashes of World War II,,0,,war
196,Kamerad,8.5,13,10m,war
197,Eddy's oorlog,7.7,47,1h 41m,war
198,Saigon,,0,,war
199,Metal Slug Tactics,5.6,15,,war
200,Rosie the Reviewer,,0,,war
201,Piggy Series Life: Season Two,8.4,9,,war
202,Druzi,,0,,war
203,Take the Water Prisoner,,0,,war
204,Power and Fire,,0,,war
205,The Korean War,8.7,14,,war
206,Ljiljana Popovic i Ziva Voda: Pesma Despotu Stefanu,,0,4m,war
207,D-Day: The Soldier's Story,8.1,13,,war
208,Sha Hai zhi Men,,0,,war
209,Ukrainan puolustajat,9.3,23,,war
210,Mein Kind - Moya Ditina,7.1,19,,war
211,Despot Zombie,,0,,war
212,The Youngest Partisan,,0,2h 15m,war
213,Hugo - Görings Jødiske Ven,7.9,23,,war
214,Operation Dynamo,,0,,war
215,Military Machines: America in WWII,,0,,war
216,Canvas,,0,10m,war
217,Bloody Sniper,,0,1h 33m,war
218,Vremya vernutsya,6.8,22,1h 40m,war
219,"Little Sleep, Little Slumber",,0,18m,war
220,Redkaya ptitsa,6.2,25,,war
221,Les usines de Staline face aux armées d'Hitler,6.0,22,1h 28m,war
222,"1914, et soudain la guerre!",7.8,8,1h 32m,war
223,VC 571,,0,,war
224,Corps Franc,,0,,war
225,The Letter,,0,17m,war
226,Into the Wilderness,,0,7m,war
227,Deserter,,0,25m,war
228,A Soldier Out of Time,,0,7m,war
229,Dima,,0,36m,war
230,Additional Scenes,6.4,7,17m,war
231,No Tomorrow,,0,,war
232,Operation Star,7.8,25,1h 42m,war
233,Sunflower,8.4,13,,war
234,"Gaza, since October 7",4.6,7,1h 34m,war
235,Kadetar,,0,1h 59m,war
236,Pozyvnoy «Passazhir»,4.7,239,1h 41m,war
237,D-Day: 100 Days to Beat the Third Reich,7.0,29,,war
238,Po zovu serdtsa,6.5,40,,war
239,Rinnans rival,,0,1h 34m,war
240,Churchill's Forgotten War,7.5,16,47m,war
241,The Price of Honour,,0,,war
242,Here We Are Now,,0,1h 2m,war
243,Colonel Xanthi,,0,,war
244,Po zakonam voennogo vremeni 7,7.1,16,,war
245,Last Letter Home,,0,6m,war
246,Da Tu Wei,,0,1h 50m,war
247,Motstandshelter fra Trondheim,6.4,10,,war
248,Até o Último Zangão,,0,6m,war
249,Atlas,,0,17m,war
250,Peace Process,,0,,war
251,Escape,,0,10m,war
252,The Great Forgotten,,0,,war
253,Ekpebiwo m (I have Decided),,0,,war
254,The Route,,0,19m,war
255,Ji zhan cang qiong,,0,,war
256,For the Love of the Motherland,,0,,war
257,"The Big War: Iran, Lebanon and Israel",,0,49m,war
258,Sarkha,,0,4m,war
259,Songs of Silence,,0,,war
260,Iron Lady Sniper,,0,1h 12m,war
261,Dot,,0,1m,war
262,Forgotten but Unbroken,,0,,war
263,Repercussions,,0,,war
264,Athletes of War,,0,1h 35m,war
265,Brothers: A Civil War Story,,0,,war
266,"Libération(s), dans la joie et la douleur",,0,,war
267,Childhood,,0,15m,war
268,Pacific Inferno: Warriors of WW2,,0,,war
269,Black Glass,,0,9m,war
270,Life Train,6.9,45,1h 30m,war
271,Eternal Presence: Journey into the Mind,9.4,9,20m,war
272,Sumerian Six,7.2,12,,war
273,Khazyain 2. Na svoyiy zemli,5.6,8,1h 28m,war
274,Atonement,,0,9m,war
275,Deadliest Weapons Declassified,,0,,war
276,Leningrad. Stimmen aus einer belagerten Stadt,7.5,14,1h 29m,war
277,Iyunskaya polyn,8.7,7,1h 19m,war
278,Krigsvarsleren,7.8,8,55m,war
279,The Bet,,0,5m,war
280,Mission One: Rendezvous,,0,,war
281,WW2 Headquarters,,0,,war
282,Cadets (Junkers),,0,,war
283,Operation Khukri Indian Army 8n Sierra Leone,,0,,war
284,La Apisonadora Soviética,,0,14m,war
285,79 Minutes: The Breach of the Capitol,,0,1h 10m,war
286,Breathe,,0,12m,war
287,Aurora,,0,18m,war
288,The Lights,,0,,war
289,Mission One,,0,,war
290,The Trap,,0,9m,war
291,Por todos,,0,11m,war
292,Meine Liebste Emma,,0,16m,war
293,Roots,,0,1h 32m,war
294,Kazheh,9.1,25,14m,war
295,A Soldier's Story,6.0,12,,war
296,They Shall Not Come Back,,0,15m,war
297,Untold Military Secrets and Scandals,,0,,war
298,Like All the Others,,0,14m,war
299,Anzac.Lemnos.1915.,,0,51m,war
300,Act of War,,0,23m,war
301,The Fields Are Burning,,0,41m,war
302,Unsung - Stories of Mi'kmaq Veterans,,0,,war
303,Bud laska,,0,27m,war
304,Aurora,,0,18m,war
305,Prazdnik,,0,1h 13m,war
306,Samogon,5.7,69,,war
307,The Sound of Music of the War,9.2,9,,war
308,On Moral Grounds,8.4,7,1h 14m,war
309,Hot Sexy War II the Rogue Nuke Project,,0,,war
310,Wo de Ye Ye,,0,1h 37m,war
311,Escape to Shanghai,,0,16m,war
312,"Daibaku Hashin, yasai31 feat. Adachi Rei, Kasane Teto: Mu",,0,3m,war
313,Home,,0,,war
314,¿Cuándo vuelve mamá?,,0,8m,war
315,In Your Gaze,,0,,war
316,Stupidity!!,,0,29m,war
317,Myth of Empires,,0,,war
318,La espera,,0,7m,war
319,Renunciation,,0,7m,war
320,Melodies of War,,0,6m,war
321,Battle for Tokyo: WWII,,0,,war
322,Barbarie,,0,5m,war
323,Los últimos 5 minutos,,0,7m,war
324,Il ciondolo,,0,,war
325,Attack Jiajin Mountain,,0,1h 36m,war
326,Pid odnym dahom,,0,,war
327,ÜRKÜN 1916,,0,,war
328,Il portiere,,0,,war
329,Twisted America,,0,49m,war
330,Those Who Did No More A WW1 Film,,0,,war
331,The Quatermain Files,,0,,war
332,Aman,9.6,10,5m,war
333,Zagovoryonnyy,5.0,26,,war
334,Krasnye lenty,5.5,22,1h 2m,war
335,Dosije Kosovo - Pogrom,7.6,5,1h 49m,war
336,Bells Beneath the Rubble,,0,,war
337,Za Rodinu!,,0,14m,war
338,Home,,0,,war
339,The Patrol,,0,6m,war
340,What Chistmas Left Behind,,0,29m,war
341,I Could Not Stop for Death,,0,6m,war
342,Halo Stop Motion serie,,0,,war
343,Beaches Paved with Red - Amphibious Invasions WWII to Today,,0,1h 3m,war
344,Weapons of Victory,,0,,war
345,Release Nuclear Contaminated Water,,0,,war
346,Delivery Impossible,,0,,war
347,Crystal Island aka Hot Sexy War 7,,0,,war
348,Ostatni Taniec: Czyli ostatnia seria w karierze,,0,,war
349,The Deserter: An Epic Story of Love and War,,0,,war
350,Mickey Mouse Goes to Gaza Strip,,0,3m,war
351,The Journey of Two Dinars,,0,,war
352,Wenn wir wieder zu Hause sind,,0,,war
353,Empty Eyes,,0,,war
354,All Death,,0,,war
355,In Honor of Adrianna: A Warrior's Love Story,,0,27m,war
356,Where the Ravens Fly,,0,,war
357,War in Ukraine: Patrol Chaplain,,0,,war
358,Only Planes,,0,,war
359,Malvinas: O Diário de uma Guerra,,0,,war
360,Wojna1939.pl,,0,,war
361,Pandora,,0,3m,war
362,The Wraith Tavern: History on Tap,,0,,war
363,Sturm,,0,6m,war
364,Free Recall,,0,29m,war
365,Do You Want to See Part Two?,,0,1h 14m,war
366,A Life Worth Living,,0,26m,war
367,11.11.18 Soldat Inconnu,,0,1h 18m,war
368,13th Survivors,,0,,war
369,A Soldier's Errand: A Dark City Vignette,,0,17m,war
370,The Power to Decide,,0,,war
371,The Land of Nowhere,,0,,war
372,Dear Vladimir,,0,6m,war
373,Turning Points,,0,19m,war
374,Captain Mayhem: The White Fox,,0,38m,war
375,Arcanix Land,,0,,war
376,Infantry Attack,,0,,war
377,As Noites Ainda Cheiram a Pólvora,,0,1h 32m,war
378,Restless Land,,0,,war
379,D-Day: The 80th Anniversary,,0,,war
380,War & Calamity: War of the Human Mind,,0,,war
381,The Fall of Europe,,0,,war
382,The Armless,,0,15m,war
383,KIKO: Haurua,,0,,war
384,War Tales Echo,,0,,war
385,Pardners,,0,3m,war
386,Path of Ghosts,,0,,war
387,We're Lost-Minded - Take Two (MokhTalafim),,0,1h 10m,war
388,Shrapnel,,0,,war
389,Landscapes of Home,,0,55m,war
390,731 meres polemou,,0,,war
391,Warcraft I: Remastered,,0,,war
392,Zombie Apocalypse Club,,0,,war
393,Gioia ultima,,0,,war
394,Battle for Rome: WWII,,0,,war
395,Frontline,,0,1m,war
396,Sta harakomata tou polemou,,0,,war
397,Trooper Down: Recon,,0,,war
398,Warcraft II: Remastered,,0,,war
399,Nocturne in Black and Gold,,0,2m,war
400,Soldado,,0,8m,war
401,From Newfoundland to Gallipoli and Home Again,,0,,war
402,Walk to Westerbork,,0,18m,war
403,Comrade,,0,6m,war
404,Fly to Rome,,0,5m,war
405,Atomic Fire Redux,,0,23m,war
406,Operation Friedchicken aka Hot Sexy War 5,,0,,war
407,Sciorium III: The Paths of Icarus,,0,7h 5m,war
408,Minefield Combat,,0,,war
409,"Thank You for Your Interest, Thank God Anyway",,0,25m,war
410,Carnyx,,0,,war
411,From Back Home,,0,4m,war
412,Songs of Steel: Hispania,,0,,war
413,Symfonia mgly,,0,,war
414,Streets of Rogue 2,,0,,war
415,Masters of the Air,7.9,4000,1h 2m,war
416,Masters of the Air,7.9,3400,55m,war
417,Masters of the Air,8.6,3400,48m,war
418,Masters of the Air,7.6,2800,52m,war
419,Masters of the Air,8.6,2900,53m,war
420,Masters of the Air,8.0,2600,1h 1m,war
421,Masters of the Air,7.8,2200,49m,war
422,Masters of the Air,7.4,2200,51m,war
423,Masters of the Air,8.6,2500,1h 18m,war
424,Unsinkable,,0,,war
425,Unsinkable,,0,,war
426,Unsinkable,,0,,war
427,Unsinkable,,0,,war
428,Unsinkable,,0,,war
429,Unsinkable,,0,,war
430,Unsinkable,,0,,war
