No,Title,Rating,Votes,Duration,Genre,Duration_Min
64,The Great Lillian Hall,7.3,2200,1h 50m,biography,110.0
65,A Very Royal Scandal,7.2,2700,,biography,
66,Monsieur Aznavour,7.3,3200,2h 13m,biography,133.0
67,Little Bites,4.7,1400,1h 45m,biography,105.0
68,Wise Guy: David Chase and the Sopranos,8.2,3800,,biography,
69,McVeigh,4.5,620,1h 30m,biography,90.0
70,Avicii - I'm Tim,7.7,7700,1h 35m,biography,95.0
71,Bir Cumhuriyet Sarkisi,7.4,1500,2h 8m,biography,128.0
72,It's Not Me,6.9,945,41m,biography,41.0
73,I'm Your Venus,7.1,551,1h 25m,biography,85.0
74,Goebbels and the Führer,6.7,2800,2h 15m,biography,135.0
75,"From Hilde, with Love",6.9,1300,2h 5m,biography,125.0
76,The Bibi Files,7.6,1500,1h 55m,biography,115.0
77,Ataturk 1881-1919,8.8,8300,,biography,
78,The Vince Staples Show,7.4,2900,,biography,
79,The Assassins,7.4,3000,,biography,
80,Blue Road: The Edna O'Brien Story,8.0,108,1h 39m,biography,99.0
81,Becoming Karl Lagerfeld,7.2,2900,,biography,
82,Stelios,7.3,1600,2h 12m,biography,132.0
83,The Flood,6.4,389,1h 41m,biography,101.0
84,Dharmaveer 2,5.4,11000,2h 10m,biography,130.0
85,Biggest Heist Ever,6.1,1700,1h 25m,biography,85.0
86,Steve! (Martin): A Documentary in 2 Pieces,7.5,2200,,biography,
87,Stevie Van Zandt: Disciple,7.9,713,2h 27m,biography,147.0
88,Amar Singh Chamkila,7.8,17000,2h 25m,biography,145.0
89,Shirley,6.2,3500,1h 57m,biography,117.0
90,Churchill at War,7.6,2100,,biography,
91,Srikanth,7.4,14000,2h 14m,biography,134.0
92,The Big Cigar,5.8,1200,,biography,
93,The World According to Allee Willis,7.9,111,1h 37m,biography,97.0
94,Swatantrya Veer Savarkar,7.7,18000,2h 56m,biography,176.0
95,Niki,6.0,519,1h 38m,biography,98.0
96,The Cage,6.5,2800,,biography,
97,Invention,5.9,154,1h 12m,biography,72.0
98,The Firing Squad,5.0,5100,1h 33m,biography,93.0
99,A Bronx Tale: The Original One Man Show,7.7,33,1h 35m,biography,95.0
100,Limonov: The Ballad of Eddie,5.9,1200,2h 18m,biography,138.0
101,The Divine Sarah Bernhardt,6.3,434,1h 38m,biography,98.0
102,Liza: A Truly Terrific Absolutely True Story,7.5,568,1h 44m,biography,104.0
103,Cristóbal Balenciaga,7.4,2200,,biography,
104,Papa,7.5,369,2h 11m,biography,131.0
105,Kafka,7.2,600,,biography,
106,Pirates: Behind the Legends,7.3,257,,biography,
107,Quisling,7.5,495,,biography,
108,Vindication Swim,5.9,232,1h 38m,biography,98.0
109,Faye,7.1,3200,1h 31m,biography,91.0
110,Beautiful Rebel,6.3,1100,1h 52m,biography,112.0
111,Miyazaki: L'Esprit de la Nature,7.1,332,1h 24m,biography,84.0
112,The Man Who Loved UFOs,5.3,646,1h 47m,biography,107.0
113,Filmlovers!,6.0,219,1h 28m,biography,88.0
114,The Life and Deaths of Christopher Lee,7.2,512,1h 39m,biography,99.0
115,Klitschko: More Than a Fight,6.3,519,1h 36m,biography,96.0
116,Oxana,6.3,140,1h 43m,biography,103.0
117,Havnaa,6.9,413,1h 50m,biography,110.0
118,Prodigieuses,6.7,276,1h 41m,biography,101.0
119,Freedom,5.9,1500,1h 50m,biography,110.0
